cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
cardia,diastolic blood pressure,phv00112483,pht001560,rz2 sbp,,MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
cardia,diastolic blood pressure,phv00112484,pht001560,rz2 dbp,,MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
cardia,diastolic blood pressure,phv00112487,pht001560,third reading sbp,,MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
cardia,diastolic blood pressure,phv00112488,pht001560,third reading dbp,mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,1,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
cardia,diastolic blood pressure,phv00112489,pht001560,rz3 sbp,,MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
cardia,diastolic blood pressure,phv00112490,pht001560,rz3 dbp,,MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
cardia,diastolic blood pressure,phv00112495,pht001655,mean of 2nd and 3rd dbps,mm[Hg],,,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,,,,,1,,1,
cardia,eosinophils count,phv00112686,pht001563,white cell count (x 1000),,MeasurementObservation,eosinophil_ncnc_bld,10*3/uL,CARDIA YEAR 0,phv00112654,1,1,,0,0,0,1,,,,
cardia,eosinophils count,phv00112693,pht001563,eosinphils (%),%,MeasurementObservation,eosinophil_ncnc_bld,10*3/uL,CARDIA YEAR 0,phv00112654,1,1,,0,0,0,1,,/100 * {phv00112686},,GitHub issue 234
cardia,fasting lipids,phv00112661,pht001563,12 hr fast before blood drawn,,MeasurementObservation,fast_lipids,mg/dL,CARDIA YEAR 0,phv00112654,1,1,,0,0,0,1,,,,
