cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","cac score","phv00120844","pht001854","scan 2 artery 3 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120882","pht001854","scan 1 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120815","pht001854","scan 1 artery 4 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120812","pht001854","scan 1 artery 1 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120883","pht001854","scan 2 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120814","pht001854","scan 1 artery 3 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120785","pht001854","scan 1 artery 2 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120843","pht001854","scan 2 artery 2 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00116127","pht001679","urinary creatinine (mg/24 hr):day 2","","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 5","phv00116028","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00116110","pht001679","urinary creatinine (unadjusted):day 2","","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 5","phv00116028","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00116128","pht001679","urinary creatinine (mg/24 hr):day 3","","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 5","phv00116028","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00116126","pht001679","urinary creatinine (mg/24 hr):day 1","","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 5","phv00116028","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00116114","pht001679","urinary creatinine (unadjusted):day 3","","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 5","phv00116028","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00120675","pht001849","urinary creatinine","","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 15","phv00120674","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00116106","pht001679","urinary creatinine (unadjusted):day 1","","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 5","phv00116028","","","",1,1,,0,0,0
"cardia","creatinine in urine","phv00118000","pht001752","urinary creatinine (mg)","mg","MeasurementObservation","creat_urin","mg/dL","CARDIA YEAR 10","phv00117996","","","",1,1,,0,0,0
"cardia","c-reactive protein crp","phv00120759","pht001853","rerun crp (ug/ml - bnii method)","","MeasurementObservation","crp","mg/L","CARDIA YEAR 15","phv00120757","","","",1,1,,0,0,0
"cardia","c-reactive protein crp","phv00120758","pht001853","c-reactive protein in ug per ml","","MeasurementObservation","crp","mg/L","CARDIA YEAR 15","phv00120757","","","",1,1,,0,0,0
"cardia","eosinophils count","phv00112693","pht001563","eosinphils (%)","%","MeasurementObservation","eosinophil_ncnc_bld","10*3/uL","CARDIA YEAR 0","phv00112654","","","",1,1,,0,0,0
"cardia","eosinophils count","phv00112686","pht001563","white cell count (x 1000)","","MeasurementObservation","eosinophil_ncnc_bld","10*3/uL","CARDIA YEAR 0","phv00112654","","","",1,1,,0,0,0
"cardia","fasting lipids","phv00112661","pht001563","12 hr fast before blood drawn","","MeasurementObservation","fast_lipids","mg/dL","CARDIA YEAR 0","phv00112654","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00118852","pht001781","forced expiratory vol/1 second, trial #2","","MeasurementObservation","fev1","L","CARDIA YEAR 10","phv00118837","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00115621","pht001667","forced expiratory vol/1 second, trial #1","","MeasurementObservation","fev1","L","CARDIA YEAR 5","phv00115618","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00114616","pht001627","forced expiratory vol/1 second, trial #1","","MeasurementObservation","fev1","L","CARDIA YEAR 2","phv00114613","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00113407","pht001575","exhal. time of max fev1 trial","","MeasurementObservation","fev1","L","CARDIA YEAR 0","phv00113261","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00114640","pht001627","forced expiratory vol/1 second, trial #3","","MeasurementObservation","fev1","L","CARDIA YEAR 2","phv00114613","","","",1,1,,0,0,0
